a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag
0.1,3.0,1.0,3.0,5.0,10.0,2.824005920365974e-23,-3.346617730015604,4.359955069256438,-133.47167756193758,0.0,131.88341501629463,0.0
0.1,3.0,1.0,3.0,5.0,12.0,-1.6153677825090286e-28,4.925623234727162e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,5.0,12.0,-3.1079801912062106e-18,0.710064638579939,1.1260479477404148,-6.420824080905225,0.0,11.019280744805249,0.0
0.1,3.0,1.0,3.0,5.0,12.0,1.0763753200242065,1.659712305284441e-23,0.5172567376844945,5.332029675579113,0.0,-13.174688304632319,0.0
0.1,3.0,1.0,3.0,5.0,14.0,-1.5680722393822252e-28,4.931593087538842e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,5.0,14.0,-2.6621714895839707e-17,0.718027220614292,1.1104778049020896,-6.502215726977162,0.0,10.8927151177577,0.0
0.1,3.0,1.0,3.0,5.0,14.0,1.0914968573200117,6.361981681710202e-28,0.5745123608787637,5.60866029171519,0.0,-13.011416898651728,0.0
0.1,3.0,1.0,3.0,7.0,4.0,-3.6831515552823095e-28,4.718411661638562e-24,1.0,-0.9999999966666666,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,7.0,4.0,3.249642857431169e-26,0.6203175229988641,1.2885953720045848,-5.593070965267442,0.0,12.601158018973939,0.0
0.1,3.0,1.0,3.0,7.0,4.0,3.3556321729427226e-18,-1.832989281291648,3.519887278997554,-46.72727044198881,0.0,82.38780783321921,0.0
0.1,3.0,1.0,3.0,7.0,6.0,-2.754590432650253e-28,4.800558952446653e-24,1.0,-0.9999999966666667,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,7.0,6.0,1.6223004033049354e-22,0.6606513798343442,1.2182301228385115,-5.944708339676975,0.0,11.858000504577687,0.0
