rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable,max_real
5.0,5.0,5.4,5.08,10.92,6.930718877913367e-20,2.3097215610301874e-20,1.0,-46.18,0.0,18.52,0.0,True,18.52
5.84,7.6,5.4,7.0,10.92,7.006903020123068e-20,4.571417451904072e-20,1.0,-56.7648,0.0,18.52,0.0,True,18.52
5.84,9.0,5.4,3.0,12.5,7.13602995271043e-20,2.132495529851287e-20,1.0,-54.1648,0.0,18.52,0.0,True,18.52
5.84,7.6,5.4,5.08,12.5,7.334781420626462e-20,2.7839549498612785e-20,1.0,-54.8448,0.0,18.52,0.0,True,18.52
5.84,9.0,5.4,5.08,9.0,7.490449057090699e-20,4.286448157103942e-20,1.0,-56.2448,0.0,18.52,0.0,True,18.52
5.84,9.0,5.4,3.0,10.92,7.5169490481718e-20,2.2645988586154197e-20,1.0,-54.1648,0.0,18.52,0.0,True,18.52
5.0,5.0,5.4,5.08,9.0,7.583710763099212e-20,2.5637317634803163e-20,1.0,-46.18,0.0,18.52,0.0,True,18.52
5.84,9.0,5.4,7.0,9.0,7.68765553903059e-20,6.781742034005433e-20,1.0,-58.1648,0.0,18.52,0.0,True,18.52
5.84,7.6,5.4,5.08,10.92,8.008234393745631e-20,3.0622427417311254e-20,1.0,-54.8448,0.0,18.52,0.0,True,18.52
6.5,9.0,5.4,7.0,12.5,8.013467280472309e-20,4.485546249239551e-20,1.0,-62.93,0.0,18.52,0.0,True,18.52
5.84,9.0,5.4,3.0,9.0,8.20032172629307e-20,2.5038915065622486e-20,1.0,-54.1648,0.0,18.52,0.0,True,18.52
5.84,7.6,5.4,7.0,9.0,8.924200405035295e-20,5.748683760247486e-20,1.0,-56.764799999999994,0.0,18.52,0.0,True,18.52
6.5,9.0,5.4,5.08,12.5,9.210509910142346e-20,3.1648385831850597e-20,1.0,-61.010000000000005,0.0,18.52,0.0,True,18.52
5.84,7.6,5.4,5.08,9.0,9.267701856240858e-20,3.586646331080048e-20,1.0,-54.8448,0.0,18.52,0.0,True,18.52
6.5,9.0,5.4,7.0,10.92,9.394927889006483e-20,5.2302565508242584e-20,1.0,-62.93,0.0,18.52,0.0,True,18.52
6.5,7.6,5.4,7.0,12.5,9.92955022853599e-20,3.951092415448109e-20,1.0,-61.53,0.0,18.52,0.0,True,18.52
5.84,5.0,5.4,7.0,12.5,9.998881211682432e-20,3.118990078250391e-20,1.0,-54.1648,0.0,18.52,0.0,True,18.52
5.84,7.6,5.4,3.0,12.5,1.0170798423539361e-19,1.8500524882627466e-20,1.0,-52.7648,0.0,18.52,0.0,True,18.52
6.5,9.0,5.4,5.08,10.92,1.0203897603386273e-19,3.5382450369151156e-20,1.0,-61.01,0.0,18.52,0.0,True,18.52
5.84,7.6,5.4,3.0,10.92,1.0494007777225806e-19,1.9271739133481752e-20,1.0,-52.7648,0.0,18.52,0.0,True,18.52
5.84,5.0,5.4,7.0,10.92,1.1017333446838995e-19,3.480955024677576e-20,1.0,-54.1648,0.0,18.52,0.0,True,18.52
5.0,5.0,5.4,3.0,12.5,1.1028615414912394e-19,1.418588981913657e-20,1.0,-44.1,0.0,18.52,0.0,True,18.52
5.0,5.0,5.4,3.0,10.92,1.1049714982881032e-19,1.423281697082118e-20,1.0,-44.1,0.0,18.52,0.0,True,18.52
5.84,7.6,5.4,3.0,9.0,1.105973889325327e-19,2.0638138511739568e-20,1.0,-52.764799999999994,0.0,18.52,0.0,True,18.52
5.0,5.0,5.4,3.0,9.0,1.1085373575865457e-19,1.4312359191668034e-20,1.0,-44.1,0.0,18.52,0.0,True,18.52
6.5,7.6,5.4,7.0,10.92,1.1336821618679945e-19,4.538869268049174e-20,1.0,-61.53,0.0,18.52,0.0,True,18.52
6.5,9.0,5.4,3.0,12.5,1.181143248944487e-19,2.1213217657261804e-20,1.0,-58.93,0.0,18.52,0.0,True,18.52
6.5,7.6,5.4,5.08,12.5,1.202156399157333e-19,2.767671851035558e-20,1.0,-59.61,0.0,18.52,0.0,True,18.52
6.5,9.0,5.4,5.08,9.0,1.2092157879182335e-19,4.2542583912546984e-20,1.0,-61.01,0.0,18.52,0.0,True,18.52
6.5,9.0,5.4,7.0,9.0,1.2195050100095982e-19,6.722792975340098e-20,1.0,-62.93,0.0,18.52,0.0,True,18.52
6.5,9.0,5.4,3.0,10.92,1.237460419233482e-19,2.251608366758251e-20,1.0,-58.93,0.0,18.52,0.0,True,18.52
5.84,5.0,5.4,7.0,9.0,1.2941244883918666e-19,4.1740303536695076e-20,1.0,-54.1648,0.0,18.52,0.0,True,18.52
