rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable
4.5,5.0,5.0,5.0,8.0,6.507710344881112e-20,-1.6079653733253534,2.61597040113334,-96.7706683503315,0.0,63.450109071419085,0.0,True
4.5,5.0,5.0,5.0,8.0,-0.5624513367787508,3.8208679337413366e-20,0.703420462896059,15.431591554125838,0.0,-12.496654573424061,0.0,True
4.5,5.0,5.0,5.0,10.0,7.30154227173714e-27,4.0446021140816743e-20,1.0,-10.0,0.0,-8.12,0.0,False
4.5,5.0,5.0,5.0,10.0,8.91364451413161e-17,0.5123140996718913,1.1312328683613102,-15.6735024990895,0.0,9.690659669688163,0.0,True
4.5,5.0,5.0,5.0,10.0,1.0564052916858186,-1.7155948568228902e-23,0.16300589477365024,10.653990654662296,0.0,-19.515699412110735,0.0,True
4.5,5.0,5.0,5.0,10.0,4.40335688634946e-24,-1.8669753268093443,2.7427984354574293,-113.43157428070407,0.0,71.10818015406726,0.0,True
4.5,5.0,5.0,5.0,12.0,4.505414489456061e-27,3.673039610726887e-20,1.0,-10.0,0.0,-8.12,0.0,False
4.5,5.0,5.0,5.0,12.0,7.139327417749493e-18,0.5259785668241679,1.115272271982669,-15.47044424876597,0.0,9.472038170147396,0.0,True
4.5,5.0,5.0,5.0,12.0,1.1090578692194875,-1.1903737904816372e-23,0.2312441517014564,12.986496014598801,0.0,-20.04818545159374,0.0,True
4.5,5.0,5.0,5.0,12.0,-8.209937216237858e-22,-2.1112632225097405,2.857263497800923,-130.4930060048111,0.0,78.43405048196502,0.0,True
4.5,5.0,7.0,1.0,8.0,-1.1242802808150812e-20,0.34765021224870574,1.1057530863169989,-8.66077227143662,0.0,7.835401229014964,0.0,True
4.5,5.0,7.0,1.0,8.0,1.1789019511361694,1.0380058477967798e-19,0.3919582079532081,12.536010840025446,0.0,-20.17496873332387,0.0,True
4.5,5.0,7.0,1.0,8.0,6.313934340076812e-21,1.60618625725024e-17,1.0,-6.0,0.0,-6.119999999999999,0.0,False
4.5,5.0,7.0,1.0,10.0,-1.3145920539539613e-24,0.3633133993182768,1.0923976382869411,-8.60667862313057,0.0,7.5928507307982676,0.0,True
4.5,5.0,7.0,1.0,10.0,1.2392953500425947,-7.367898238929898e-25,0.46245146237698087,13.628884118462311,0.0,-20.607710357745347,0.0,True
4.5,5.0,7.0,1.0,10.0,4.6843622894981005e-26,7.237319493516771e-22,1.0,-6.0,0.0,-6.119999999999998,0.0,False
4.5,5.0,7.0,1.0,12.0,2.8791517152619917e-23,-1.3809945916235795,2.1125018695545865,-47.678305733775346,0.0,47.685894778775676,0.0,True
4.5,5.0,7.0,1.0,12.0,3.7925697194356427e-25,0.3752257558021022,1.082130047893401,-8.569138914599803,0.0,7.411472910614034,0.0,True
4.5,5.0,7.0,1.0,12.0,1.2885787777539859,-2.2278252883653783e-21,0.5157063806105961,14.36842899665138,0.0,-20.97187481187868,0.0,True
4.5,5.0,7.0,1.0,12.0,1.1907109922310176e-21,6.526391495232587e-18,1.0,-6.0,0.0,-6.12,0.0,False
4.5,5.0,7.0,3.0,8.0,-3.472625973756053e-23,0.34765021224870585,1.1057530863169989,-11.106152047235756,0.0,7.83540122901497,0.0,True
4.5,5.0,7.0,3.0,8.0,1.0729302597750823,-2.8275277997380943e-24,0.20856420214054494,10.688905409430506,0.0,-19.549905967793343,0.0,True
