a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag
0.1,3.0,1.0,3.0,7.0,8.0,1.447179265066976e-21,-1.6295732679636514e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,7.0,8.0,0.5062657023674224,-3.6685394735447855e-20,0.7757331587806179,0.8287319546289643,0.0,14.735619998264019,0.0
0.1,3.0,1.0,3.0,7.0,8.0,0.992966622178356,5.5820811909461295e-31,0.13726512633474286,-2.1654128661126455,0.0,12.446897806080461,0.0
0.1,3.0,1.0,3.0,7.0,10.0,1.4391221679471851e-21,-1.63040480747644e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,7.0,10.0,0.5616808500082543,-4.190525328734737e-27,0.7791602359138035,0.6489127910921021,0.0,14.707812709310925,0.0
0.1,3.0,1.0,3.0,7.0,10.0,0.9441911443531813,-1.1729114736553251e-25,0.3759521580475209,-1.2947022581270256,0.0,12.884312225586287,0.0
0.1,3.0,1.0,3.0,7.0,12.0,1.4337693428084771e-21,-1.630952634397261e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,7.0,12.0,3.336704443529996e-27,2.496834734271887,2.5585459225666414,-70.55951451940668,0.0,15.092865427213175,0.0
0.1,3.0,1.0,3.0,7.0,12.0,-3.953680137963611e-24,1.6387677623491241,1.671389944728689,-30.539965254848976,0.0,-8.03478022295281,0.0
0.1,3.0,1.0,3.0,7.0,12.0,0.6335197181932153,1.1385526153580086e-24,0.7658807805518937,0.39976130671687204,0.0,14.582723026185018,0.0
0.1,3.0,1.0,3.0,7.0,12.0,0.8541858095899452,8.355134381172827e-27,0.5743805182388491,-0.5811170938849002,0.0,13.56981009399141,0.0
0.1,3.0,1.0,3.0,7.0,14.0,1.4299548658547097e-21,-1.6313394227598523e-25,1.0,-1.299999967,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,7.0,14.0,1.1421805217773106e-21,3.0514270233644125,2.995258616911128,-104.43210845172847,0.0,31.681062332951843,0.0
0.1,3.0,1.0,3.0,7.0,14.0,3.1560510437810674e-24,1.5040921799693374,1.484777132681053,-25.625200482067587,0.0,-11.096257563451841,0.0
0.1,3.0,1.0,5.0,0.5,6.0,1.3497956043186797e-21,-1.2384523025547014e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,0.5,8.0,1.3640492858905158e-21,-1.241176707646592e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,0.5,10.0,1.3726551272777528e-21,-1.242788788047242e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,0.5,12.0,1.378414720653629e-21,-1.2438551061239711e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,0.5,14.0,1.3825397500576766e-21,-1.2446122893334669e-25,1.0,-1.2999999670000004,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,1.0,6.0,1.3561649366871938e-21,-1.2396422191115416e-25,1.0,-1.2999999670000002,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,1.0,8.0,1.3688615709151919e-21,-1.2420552706649028e-25,1.0,-1.299999967,0.0,18.1199998688,0.0
0.1,3.0,1.0,5.0,1.0,10.0,1.3765220098391759e-21,-1.2434858514275937e-25,1.0,-1.299999967,0.0,18.1199998688,0.0
